Respondent_Serial,language,country,yyyymmdd,AgeGender,weight,regionAustralia,regionUS,regionUK,regionIndia,regionNigeria,regionPhilippines,regionFinland,regionPortugal,regionBrazil,regionFrance,D1,D2,D3,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9
36,English,Philippines,20210518,Women 21-25,0.6408921343302343, , , , , ,Mindanao Super Region, , , , ,21,woman,Philippines: Mindanao Super Region,moderately,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,moderately,no,no,no,no,no,no,yes,no,no,a little,a little,very,moderately,a little,moderately,moderately,moderately,a little
37,Finnish,Finland,20210518,Men 21-25,1.1282464444101474, , , , , , ,South Finland, , , ,21,man,Finland: South Finland,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,completely reassured,yes,yes,yes,yes,yes,yes,yes,yes,yes,extremely,extremely,extremely,extremely,extremely,extremely,extremely,extremely,extremely
39,English,India,20210518,Women 21-25,0.7039234893501642, , , ,North India, , , , , , ,25,woman,India: North India,moderately,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,moderately,yes,yes,yes,yes,yes,yes,yes,no,no,moderately,moderately,very,very,moderately,very,very,not at all,a little
40,English,Philippines,20210518,Men 21-25,0.7209880946930312, , , , , ,Central Philippines Region, , , , ,23,man,Philippines: Central Philippines Region,extremely,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,moderately,yes,yes,no,yes,yes,yes,no,no,no,moderately,moderately,very,moderately,very,very,very,very,moderately
41,English,India,20210518,Women 21-25,0.7039234893501642, , , ,North India, , , , , , ,21,woman,India: North India,extremely,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,not at all,moderately,a little,moderately,a little,a little,not at all,not at all,moderately
43,English,Australia,20210518,Women 16-20,0.9260967366097504,Western Australia, , , , , , , , , ,19,woman,Australia: Western Australia,moderately,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,yes,yes,I don't talk to other people about climate change,not at all,prefer not to say,yes,yes,prefer not to say,no,no,yes,yes,yes,prefer not to say,prefer not to say,very,not at all,a little,not at all,moderately,very,not at all
44,English,Philippines,20210518,Men 16-20,1.9462256634233035, , , , , ,Mindanao Super Region, , , , ,18,man,Philippines: Mindanao Super Region,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,moderately,yes,yes,no,yes,yes,no,no,yes,yes,a little,moderately,very,a little,a little,moderately,a little,moderately,moderately
45,English,Australia,20210518,Women 21-25,0.9581592997705705,Queensland, , , , , , , , , ,24,woman,Australia: Queensland,a little,no,no,no,no,yes,no,no,yes,no,no,no,no,no,prefer not to say,no,no,yes,no,no,no,no,yes,I don't talk to other people about climate change,moderately,prefer not to say,prefer not to say,prefer not to say,no,prefer not to say,yes,prefer not to say,prefer not to say,prefer not to say,not at all,not at all,not at all,moderately,not at all,moderately,moderately,not at all,a little
46,English,Philippines,20210518,Men 21-25,0.7209880946930312, , , , , ,Central Philippines Region, , , , ,22,man,Philippines: Central Philippines Region,very,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,a little,no,yes,yes,no,yes,yes,no,yes,no,not at all,not at all,not at all,very,not at all,very,not at all,not at all,very
47,English,India,20210518,Women 16-20,1.7414054937569843, , , ,East India, , , , , , ,19,woman,India: East India,extremely,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,moderately,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,very,not at all,extremely,a little,extremely,a little,not at all
48,English,Australia,20210518,Women 21-25,0.9581592997705705,Queensland, , , , , , , , , ,22,woman,Australia: Queensland,moderately,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,I don't talk to other people about climate change,not at all,no,yes,yes,no,no,prefer not to say,yes,yes,yes,moderately,a little,moderately,moderately,moderately,not at all,moderately,moderately,moderately
49,English,India,20210518,Men 21-25,0.6670470918211177, , , ,West India, , , , , , ,21,man,India: West India,extremely,yes,no,yes,yes,no,yes,yes,yes,no,yes,prefer not to say,yes,no,yes,yes,prefer not to say,yes,yes,no,prefer not to say,yes,yes,yes,not at all,no,no,prefer not to say,no,no,yes,yes,prefer not to say,yes,a little,moderately,very,not at all,extremely,not at all,very,moderately,not at all
51,English,Australia,20210518,Women 21-25,0.7716483180487432,New South Wales, , , , , , , , , ,21,woman,Australia: New South Wales,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,yes,no,yes,no,no,no,yes,yes,yes,a little,very,very,not at all,extremely,not at all,a little,very,a little
52,English,India,20210518,Men 21-25,0.9816111889294205, , , ,East India, , , , , , ,25,man,India: East India,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,moderately,no,no,no,yes,no,yes,yes,yes,yes,moderately,moderately,moderately,moderately,moderately,a little,moderately,moderately,a little
53,English,Philippines,20210518,Men 21-25,0.6982261956861798, , , , , ,Mindanao Super Region, , , , ,21,man,Philippines: Mindanao Super Region,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,not at all,yes,yes,no,yes,yes,yes,no,yes,no,moderately,a little,moderately,very,very,moderately,a little,moderately,moderately
54,English,Australia,20210518,Women 16-20,1.0795608562983807,Queensland, , , , , , , , , ,18,woman,Australia: Queensland,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,not at all,no,no,yes,no,no,no,no,yes,yes,moderately,very,extremely,a little,moderately,not at all,a little,a little,not at all
55,English,Australia,20210518,Women 16-20,0.8694183933646281,New South Wales, , , , , , , , , ,19,woman,Australia: New South Wales,moderately,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,moderately,yes,yes,yes,no,yes,yes,no,yes,yes,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately
56,English,Australia,20210518,Women 21-25,0.8127712524349114,South Australia, , , , , , , , , ,24,woman,Australia: South Australia,very,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,yes,yes,no,moderately,moderately,moderately,a little,moderately,a little,moderately,a little,not at all
57,English,Australia,20210518,Women 21-25,0.7716483180487432,New South Wales, , , , , , , , , ,21,woman,Australia: New South Wales,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,moderately,no,no,yes,no,yes,no,no,yes,yes,extremely,extremely,extremely,moderately,extremely,extremely,not at all,extremely,extremely
58,English,Australia,20210518,Women 16-20,0.8694183933646281,New South Wales, , , , , , , , , ,18,woman,Australia: New South Wales,a little,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,prefer not to say,no,yes,yes,no,yes,yes,no,no,no,not at all,moderately,not at all,very,a little,moderately,not at all,moderately,a little
59,English,Philippines,20210518,Women 16-20,1.7051771177775494, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,18,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,extremely,moderately,extremely,not at all,extremely,extremely,not at all
60,English,Australia,20210518,Women 21-25,0.7716483180487432,New South Wales, , , , , , , , , ,24,woman,Australia: New South Wales,a little,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,moderately,no,no,yes,no,no,no,no,no,no,a little,a little,a little,a little,a little,a little,a little,a little,a little
61,English,Australia,20210518,Women 21-25,0.9581592997705705,Queensland, , , , , , , , , ,21,woman,Australia: Queensland,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,a little,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,very,not at all,very,not at all,very,a little,not at all
62,English,Australia,20210518,Women 21-25,0.8219529223321098,Western Australia, , , , , , , , , ,24,woman,Australia: Western Australia,extremely,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,prefer not to say,no,yes,I don't talk to other people about climate change,a little,no,no,yes,no,prefer not to say,no,prefer not to say,yes,yes,a little,not at all,very,a little,very,not at all,very,not at all,a little
63,English,Australia,20210518,Women 16-20,0.9157517225616252,South Australia, , , , , , , , , ,20,woman,Australia: South Australia,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,a little,a little,a little,extremely,a little,a little,moderately,a little
65,Portuguese,Portugal,20210518,Men 21-25,0.8432625289349607, , , , , , , ,North, , ,25,man,Portugal: North,very,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,a little,no,yes,no,no,yes,yes,no,yes,no,not at all,not at all,a little,moderately,moderately,moderately,a little,a little,moderately
66,English,Australia,20210518,Men 21-25,1.3352892211014513,Queensland, , , , , , , , , ,21,man,Australia: Queensland,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,moderately,extremely,extremely,not at all,extremely,a little,not at all,very,not at all
67,French,France,20210518,Men 21-25,0.9512586747655055, , , , , , , , , ,Centre,21,man,France: Centre,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,moderately,a little,not at all,very,not at all,not at all,very,not at all
68,English,United Kingdom,20210518,Men 21-25,1.0694221826080494, , ,North, , , , , , , ,25,man,United Kingdom: North,very,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,a little,no,yes,yes,no,no,no,yes,yes,yes,a little,moderately,very,very,very,very,a little,moderately,extremely
73,English,Australia,20210518,Women 16-20,0.91285867084328,Victoria, , , , , , , , , ,20,woman,Australia: Victoria,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,prefer not to say,no,no,no,yes,no,no,no,yes,I don't talk to other people about climate change,moderately,yes,yes,prefer not to say,yes,yes,yes,no,no,no,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately
75,English,Philippines,20210518,Men 21-25,0.6982261956861798, , , , , ,Mindanao Super Region, , , , ,25,man,Philippines: Mindanao Super Region,moderately,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,very,no,yes,no,yes,yes,no,no,no,no,not at all,moderately,moderately,extremely,not at all,moderately,not at all,moderately,moderately
77,English,Australia,20210518,Women 16-20,0.91285867084328,Victoria, , , , , , , , , ,17,woman,Australia: Victoria,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,not at all,no,no,no,no,no,no,no,no,no,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all
78,English,Australia,20210518,Women 21-25,0.9581592997705705,Queensland, , , , , , , , , ,21,woman,Australia: Queensland,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,yes,yes,no,no,no,yes,yes,yes,not at all,very,extremely,not at all,very,not at all,very,not at all,not at all
80,Portuguese,Brazil,20210518,Women 21-25,0.726200239102256, , , , , , , , ,Southeast, ,22,woman,Brazil: Southeast,very,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,very,extremely,extremely,not at all,extremely,not at all,very,very,not at all
87,Finnish,Finland,20210518,Men 21-25,1.1282464444101474, , , , , , ,South Finland, , , ,22,man,Finland: South Finland,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,a little,yes,no,no,yes,yes,yes,no,no,no,very,a little,extremely,a little,moderately,moderately,very,extremely,extremely
88,English,India,20210518,Men 16-20,1.451057963242869, , , ,South India, , , , , , ,20,man,India: South India,moderately,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,prefer not to say,no,no,no,yes,no,yes,no,no,no,not at all,not at all,not at all,moderately,not at all,not at all,moderately,moderately,not at all
89,Portuguese,Portugal,20210518,Women 21-25,0.6749451399178247, , , , , , , ,Lisboa & Tagus Valley, , ,25,woman,Portugal: Lisboa & Tagus Valley,extremely,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,not at all,no,yes,yes,no,no,no,no,yes,yes,very,a little,extremely,very,extremely,a little,very,moderately,a little
92,English,India,20210518,Women 16-20,1.4453744490568754, , , ,North India, , , , , , ,17,woman,India: North India,very,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,completely reassured,no,yes,no,yes,yes,yes,yes,yes,yes,extremely,not at all,a little,very,very,very,a little,extremely,very
93,English,Australia,20210518,Women 16-20,0.91285867084328,Victoria, , , , , , , , , ,20,woman,Australia: Victoria,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,not at all,no,no,yes,yes,no,no,yes,yes,no,not at all,very,very,a little,extremely,not at all,extremely,extremely,not at all
94,English,Australia,20210518,Women 16-20,1.0795608562983807,Queensland, , , , , , , , , ,18,woman,Australia: Queensland,very,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,moderately,yes,no,yes,yes,yes,yes,no,yes,prefer not to say,not at all,prefer not to say,not at all,prefer not to say,not at all,not at all,a little,a little,moderately
95,Finnish,Finland,20210518,Men 21-25,1.1282464444101474, , , , , , ,South Finland, , , ,21,man,Finland: South Finland,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,completely reassured,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,a little,a little,a little,a little,a little,a little,a little,a little
96,English,Australia,20210518,Women 21-25,0.7716483180487432,New South Wales, , , , , , , , , ,21,woman,Australia: New South Wales,moderately,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,moderately,yes,yes,yes,yes,yes,yes,no,yes,yes,moderately,a little,moderately,moderately,moderately,moderately,moderately,a little,moderately
97,English,India,20210518,Women 16-20,1.4214363892028168, , , ,South India, , , , , , ,19,woman,India: South India,extremely,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,a little,no,no,yes,no,no,no,yes,yes,yes,a little,very,a little,a little,a little,a little,very,very,a little
98,English,Philippines,20210518,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,25,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,very,yes,yes,no,yes,yes,yes,no,no,no,not at all,not at all,not at all,extremely,not at all,extremely,not at all,not at all,very
100,English,Australia,20210518,Women 21-25,0.9581592997705705,Queensland, , , , , , , , , ,25,woman,Australia: Queensland,extremely,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,moderately,yes,yes,yes,no,yes,yes,yes,yes,no,moderately,a little,moderately,moderately,moderately,moderately,a little,extremely,moderately
101,Portuguese,Portugal,20210518,Women 21-25,0.6749451399178247, , , , , , , ,Lisboa & Tagus Valley, , ,21,woman,Portugal: Lisboa & Tagus Valley,extremely,yes,prefer not to say,yes,yes,no,yes,prefer not to say,prefer not to say,yes,no,prefer not to say,yes,yes,no,yes,yes,yes,yes,yes,prefer not to say,yes,yes,no,moderately,prefer not to say,yes,prefer not to say,yes,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately
102,Finnish,Finland,20210518,Women 21-25,0.7093192249242061, , , , , , ,West Finland, , , ,22,woman,Finland: West Finland,very,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,moderately,very,moderately,moderately,a little,a little,moderately
103,Finnish,Finland,20210518,Men 16-20,1.003880491296018, , , , , , ,West Finland, , , ,19,man,Finland: West Finland,very,no,yes,no,yes,no,prefer not to say,yes,no,prefer not to say,prefer not to say,yes,yes,yes,no,yes,no,no,no,prefer not to say,yes,yes,yes,yes,very,no,no,no,yes,no,prefer not to say,prefer not to say,yes,yes,moderately,extremely,moderately,moderately,very,prefer not to say,a little,moderately,moderately
104,English,India,20210518,Men 16-20,1.7776949627468739, , , ,East India, , , , , , ,18,man,India: East India,extremely,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,a little,yes,no,yes,no,no,yes,no,no,no,a little,moderately,a little,a little,not at all,not at all,a little,a little,a little
105,Finnish,Finland,20210518,Men 16-20,1.1203657229946984, , , , , , ,East Finland, , , ,20,man,Finland: East Finland,extremely,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,completely reassured,yes,yes,yes,yes,yes,yes,yes,yes,yes,moderately,very,very,not at all,not at all,moderately,moderately,moderately,very
106,Finnish,Finland,20210518,Men 21-25,1.1282464444101474, , , , , , ,South Finland, , , ,25,man,Finland: South Finland,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,not at all,no,yes,yes,no,no,no,yes,yes,yes,not at all,not at all,not at all,not at all,extremely,not at all,not at all,not at all,not at all
107,Finnish,Finland,20210518,Men 21-25,1.1282464444101474, , , , , , ,South Finland, , , ,24,man,Finland: South Finland,moderately,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,moderately,no,no,no,no,no,no,no,no,no,not at all,not at all,not at all,moderately,not at all,not at all,not at all,not at all,moderately
108,Finnish,Finland,20210518,Men 16-20,1.0478541383029216, , , , , , ,South Finland, , , ,20,man,Finland: South Finland,very,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,very,yes,yes,no,yes,yes,no,yes,yes,yes,a little,very,moderately,moderately,moderately,a little,moderately,a little,a little
109,Finnish,Finland,20210518,Men 16-20,1.0478541383029216, , , , , , ,South Finland, , , ,17,man,Finland: South Finland,moderately,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,moderately,yes,yes,no,yes,no,yes,no,no,yes,a little,not at all,not at all,not at all,a little,not at all,a little,moderately,not at all
110,Finnish,Finland,20210518,Women 21-25,0.7870439499531771, , , , , , ,North Finland, , , ,25,woman,Finland: North Finland,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,a little,no,no,yes,no,no,no,yes,yes,yes,a little,a little,moderately,a little,moderately,moderately,very,moderately,a little
111,Finnish,Finland,20210518,Women 16-20,1.2080684447628702, , , , , , ,South Finland, , , ,20,woman,Finland: South Finland,very,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,prefer not to say,yes,no,no,no,no,yes,I don't talk to other people about climate change,moderately,yes,yes,no,yes,no,no,yes,no,yes,not at all,moderately,a little,a little,moderately,extremely,moderately,moderately,moderately
112,Finnish,Finland,20210518,Women 21-25,0.7093192249242061, , , , , , ,West Finland, , , ,21,woman,Finland: West Finland,a little,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,moderately,no,no,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,no,prefer not to say,prefer not to say,prefer not to say,not at all,not at all,not at all,not at all,not at all,prefer not to say,not at all
113,English,India,20210518,Men 21-25,0.8147417338887302, , , ,North India, , , , , , ,25,man,India: North India,moderately,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,not at all,no,no,yes,yes,yes,yes,no,yes,no,very,very,extremely,moderately,moderately,moderately,moderately,moderately,extremely
114,English,Australia,20210518,Women 21-25,0.7391533989489292,Tasmania, , , , , , , , , ,21,woman,Australia: Tasmania,prefer not to say,no,yes,yes,yes,no,yes,yes,yes,yes,yes,prefer not to say,yes,yes,prefer not to say,yes,yes,no,yes,yes,yes,no,yes,I don't talk to other people about climate change,moderately,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,moderately,not at all,very,moderately,a little,moderately,a little,very,extremely
